year,site,temperature_C,dissolved_oxygen
2007,StreamA,13.2,7.18
2007,StreamB,10.2,NA
2008,StreamA,12.5,7.27
2008,StreamB,NA,8.07
2009,StreamA,13.9,7.46
2009,StreamB,NA,7.26
2010,StreamA,11.36,7
2010,StreamB,11.67,NA
2011,StreamA,12.97,6.53
2011,StreamB,NA,NA
2012,StreamA,13.1,7.5
2012,StreamB,11.1,9.5
2013,StreamA,14.47,6.16
2013,StreamB,11.42,8.78
2014,StreamA,13.37,7.05
2014,StreamB,11.37,8.35
2015,StreamA,12.48,7.34
2015,StreamB,12.18,8.44
2016,StreamA,12.63,6.15
2016,StreamB,12.03,8.23
2017,StreamA,13.16,6.89
2017,StreamB,11.96,8.28
2018,StreamA,12.94,6.03
2018,StreamB,12.56,7.83
2019,StreamA,14.1,7.26
2019,StreamB,13,7.01
2020,StreamA,12.07,7.53
2020,StreamB,12.87,7.3
2021,StreamA,13.43,7.02
2021,StreamB,13.25,7.42
2022,StreamA,13.28,6.32
2022,StreamB,13.78,6.63
